Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Josi, Roman;NSH;;LD,RD;36;;;9059000;9059000;UFA;0;0
Forsberg, Filip;NSH;;LW,RW;32;;;8500000;8500000;8500000;8500000;UFA
Stamkos, Steven;NSH;;RW,C;36;;;8000000;8000000;UFA;0;0
Saros, Juuse;NSH;;G;31;;;7740000;7740000;7740000;7740000;7740000
Skjei, Brady;NSH;;LD;32;;;7000000;7000000;7000000;7000000;7000000
Bourque, Mavrik;NSH;;C,RW;24;;;5500000;5500000;5500000;5500000;5500000
Marchessault, Jonathan;NSH;;RW,LW;35;;;5500000;5500000;5500000;UFA;0
Hague, Nicolas;NSH;;LD;27;;;5500000;5500000;5500000;UFA;0
O'Reilly, Ryan;NSH;;C;35;;;4500000;UFA;0;0;0
Drury, Jack;NSH;;C;26;;;4500000;4500000;4500000;4500000;4500000
Colton, Ross;NSH;;LW,C;30;;;4000000;UFA;0;0;0
Kerfoot, Alexander;NSH;;LW,C;32;;;3500000;3500000;UFA;0;0
Lyubushkin, Ilya;NSH;;RD;32;;;3250000;UFA;0;0;0
Hoglander, Nils;NSH;;LW,RW;25;;;3000000;3000000;UFA;0;0
Perbix, Nicklaus;NSH;;RD;28;;;2750000;UFA;0;0;0
Turris, Kyle;NSH;;C,RW;37;;;2000000;2000000;0;0;0
Barron, Justin;NSH;;RD,LD;24;;;1575000;RFA;0;0;0
Duchene, Matt;NSH;;C,RW;35;;;1555556;1555556;1555556;0;0
Annunen, Justus;NSH;;G;26;;;1250000;1250000;UFA;0;0
Nilsson, Felix;NSH;ELC;C,W;21;2026-27|2027-28|2028-29;;1028333;1028333;1028333;RFA;0
Pinchuk, Vitali;NSH;ELC;LW,C;24;2026-27;;1025000;RFA;0;0;0
Gustafsson, Viggo;NSH;ELC;D;20;2026-27|2027-28|2028-29;;990000;990000;990000;RFA;0
Edstrom, Adam;NSH;;LW,C;25;;;975000;RFA;0;0;0
Nieminen, Daniel;NSH;ELC;;20;2026-27|2027-28|2028-29;;975000;975000;975000;RFA;0
Martin, Brady;NSH;ELC;C,RW;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Fink, Aiden;NSH;ELC;RW;21;2026-27|2027-28;;972500;972500;RFA;0;0
Willis, Joseph;NSH;ELC;C,LW;21;2026-27|2027-28;;960000;960000;RFA;0;0
Wood, Matthew;NSH;ELC;LW,C;21;2026-27;;950000;RFA;0;0;0
Posch, Isak;NSH;ELC;G;24;2026-27;;947500;RFA;0;0;0
Ufko, Ryan;NSH;ELC;D;23;2026-27;;942500;RFA;0;0;0
O'Hara, Cole;NSH;ELC;RW;24;2026-27;;935000;RFA;0;0;0
Gojsic, Hiroki;NSH;ELC;RW;20;2026-27|2027-28|2028-29;;930000;930000;930000;RFA;0
Gibson, Andrew;NSH;ELC;D;21;2026-27|2027-28;;925000;925000;RFA;0;0
Roest, Austin;NSH;ELC;RW,C;22;2026-27;;920000;RFA;0;0;0
Edstrom, David;NSH;ELC;C;21;2026-27|2027-28;;909166;909166;RFA;0;0
Molendyk, Tanner;NSH;ELC;D;21;2026-27|2027-28;;909166;909166;RFA;0;0
Lind, Kalan;NSH;ELC;LW;21;2026-27|2027-28;;906666;906666;RFA;0;0
Kemell, Joakim;NSH;ELC;RW;22;2026-27;;886666;RFA;0;0;0
Schaefer, Reid;NSH;ELC;LW;22;2026-27;;886666;RFA;0;0;0
Ahcan, Jack;NSH;;LD;29;;;875000;875000;UFA;0;0
Bradley, Chase;NSH;;LW,C;24;;;875000;875000;RFA;0;0
Wilsby, Adam;NSH;;LD;26;;;850000;RFA;0;0;0
Wiesblatt, Ozzy;NSH;;C,RW;24;;;850000;0;0;0;0
Skinner, Hunter;NSH;;D;25;;;850000;0;0;0;0
Lucchini, Jake;NSH;;C,LW;31;;;850000;UFA;0;0;0
Murray, Matthew;NSH;;G;28;;;850000;UFA;0;0;0
Jost, Tyson;NSH;;LW,C;28;;;UFA;0;0;0;0
