Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Dobson, Noah;MTL;;RD;26;;;9500000;9500000;9500000;9500000;9500000
Hutson, Lane;MTL;;LD,RD;22;;;8850000;8850000;8850000;8850000;8850000
Suzuki, Nick;MTL;;C;27;;;7875000;7875000;7875000;7875000;UFA
Caufield, Cole;MTL;;LW,RW;25;;;7850000;7850000;7850000;7850000;7850000
Slafkovský, Juraj;MTL;;RW,LW;22;;;7600000;7600000;7600000;7600000;7600000
Gallagher, Brendan;MTL;;RW;34;;2026-27;6500000;0;0;0;0
Matheson, Mike;MTL;;LD;32;;;6000000;6000000;6000000;6000000;6000000
Guhle, Kaiden;MTL;;LD;24;;;5550000;5550000;5550000;5550000;5550000
Anderson, Josh;MTL;;RW,LW;32;;;5500000;UFA;0;0;0
Danault, Phillip;MTL;;C;33;;;5500000;UFA;0;0;0
Carrier, Alexandre;MTL;;RD;29;;;3750000;UFA;0;0;0
Dach, Kirby;MTL;;C;25;;;3600000;UFA;0;0;0
Montembeault, Sam;MTL;;G;29;;;3150000;UFA;0;0;0
Newhook, Alex;MTL;;C,LW;25;;;2900000;RFA;0;0;0
Evans, Jake;MTL;;C,LW;30;;;2850000;2850000;2850000;UFA;0
Texier, Alexandre;MTL;;LW,RW;26;;;2500000;2500000;UFA;0;0
Struble, Jayden;MTL;;LD;24;;;1412500;RFA;0;0;0
Mittelstadt, Luke;MTL;ELC;D;23;2026-27|2027-28;;1013750;1013750;RFA;0;0
Konyushkov, Bogdan;MTL;ELC;D;23;2026-27|2027-28;;1013750;1013750;RFA;0;0
Protz, Owen;MTL;ELC;D;20;2026-27|2027-28|2028-29;;1004167;1004167;1004167;RFA;0
Kahkonen, Kaapo;MTL;;G;30;;;1000000;UFA;0;0;0
Rohrer, Vinzenz;MTL;ELC;C,RW;21;2026-27|2027-28;;972500;972500;RFA;0;0
Thorpe, Tyler;MTL;ELC;RW;21;2026-27|2027-28;;968333;968333;RFA;0;0
Dobes, Jakub;MTL;;G;25;;;965000;5357575;5357575;5357575;UFA
Pickford, Bryce;MTL;ELC;;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Fowler, Jacob;MTL;ELC;G;21;2026-27|2027-28;;945833;945833;RFA;0;0
Kapanen, Oliver;MTL;ELC;C,RW;23;2026-27;;942500;RFA;0;0;0
Xhekaj, Florian;MTL;ELC;LW,C;22;2026-27;;941667;RFA;0;0;0
Demidov, Ivan;MTL;ELC;RW,LW;20;2026-27|2027-28|2028-29|2029-30|2030-31;;940833;9150000;9150000;9150000;9150000
Reinbacher, David;MTL;ELC;RD;21;2026-27|2027-28;;909166;909166;RFA;0;0
Engström, Adam;MTL;ELC;LD,RD;22;2026-27;;896667;RFA;0;0;0
Mesar, Filip;MTL;ELC;RW;22;2026-27;;886666;RFA;0;0;0
Beck, Owen;MTL;ELC;C;22;2026-27;;853333;RFA;0;0;0
Berard, Brett;MTL;;LW;23;;;850000;RFA;0;0;0
Walsh, Reilly;MTL;;D;27;;;850000;UFA;0;0;0
Belzile, Alex;MTL;;RW,C;34;;;850000;UFA;0;0;0
McKown, Hunter;MTL;;C;24;;;850000;RFA;0;0;0
Poulin, Samuel;MTL;;W,C;25;;;850000;0;0;0;0
Szuber, Maksymilian;MTL;;D;23;;;850000;RFA;0;0;0
Pastujov, Sasha;MTL;;RW,LW;23;;;850000;RFA;0;0;0
Condotta, Lucas;MTL;;C;28;;;850000;UFA;0;0;0
Davidson, Jared;MTL;;C;24;;;850000;RFA;0;0;0
Samson, Ethan;MTL;;D;23;;;850000;RFA;0;0;0
Bolduc, Zack;MTL;;RW,LW;23;;;RFA;0;0;0;0
Xhekaj, Arber;MTL;;LD,RD;25;;;RFA;0;0;0;0
undefined, undefined;MTL;;;;;;;;;;
