Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Stutzle, Tim;OTT;;C,LW;24;;;8350000;8350000;8350000;8350000;8350000
Ullmark, Linus;OTT;;G;33;;;8250000;8250000;8250000;UFA;0
Sanderson, Jake;OTT;;LD;24;;;8050000;8050000;8050000;8050000;8050000
Chabot, Thomas;OTT;;LD;29;;;8000000;8000000;UFA;0;0
Pinto, Shane;OTT;;C;25;;;7500000;7500000;7500000;7500000;UFA
Cozens, Dylan;OTT;;C;25;;;7100000;7100000;7100000;7100000;UFA
Eklund, William;OTT;;LW,C;23;;;5600000;5600000;5600000;RFA;0
Burakovsky, Andre;OTT;;LW,RW;31;;;5500000;UFA;0;0;0
Spence, Jordan;OTT;;RD;25;;;5000000;5000000;5000000;5000000;UFA
Batherson, Drake;OTT;;RW;28;;;4975000;10750000;10750000;10750000;10750000
Zub, Artyom;OTT;;RD;30;;;4600000;UFA;0;0;0
Zetterlund, Fabian;OTT;;LW,RW;27;;;4275000;4275000;UFA;0;0
Korpisalo, Joonas;OTT;;G;32;;2026-27|2027-28;4000000;4000000;0;0;0
Foegele, Warren;OTT;;LW,C;30;;;3500000;UFA;0;0;0
Greig, Ridly;OTT;;C,LW;24;;;3250000;3250000;3250000;RFA;0
Amadio, Michael;OTT;;RW,LW;30;;;2600000;UFA;0;0;0
Ersson, Samuel;OTT;;G;26;;;2200000;2200000;UFA;0;0
Giroux, Claude;OTT;;LW,RW;38;;;2000000;UFA;0;0;0
Kleven, Tyler;OTT;;LD;24;;;1600000;RFA;0;0;0
Cousins, Nick;OTT;;C,LW;33;;;1587500;1587500;UFA;0;0
MacDermid, Kurtis;OTT;;LW,RW;32;;;1150000;UFA;0;0;0
Montgomery, Blake;OTT;ELC;LW;21;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Halliday, Stephen;OTT;;C;24;;;1075000;1075000;RFA;0;0
Stanley, Hoyt;OTT;ELC;D;21;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Beckman, Lucas;OTT;ELC;G;19;2026-27|2027-28|2028-29;;1028333;1028333;1028333;RFA;0
Eliasson, Gabriel;OTT;ELC;D;20;2026-27|2027-28|2028-29;;1007500;1007500;1007500;RFA;0
Ellinas, Lucas;OTT;ELC;C,LW;20;2026-27|2027-28|2028-29;;958333;958333;958333;RFA;0
Reidler, Kevin;OTT;ELC;G;22;2026-27|2027-28;;946250;946250;RFA;0;0
Yakemchuk, Carter;OTT;ELC;RD;20;2026-27|2027-28|2028-29;;941667;941667;941667;RFA;0
Parsons, Jackson;OTT;ELC;G;21;2026-27|2027-28;;929167;929167;RFA;0;0
Blais, Sammy;OTT;;LW,RW;30;;;925000;925000;UFA;0;0
Andonovski, Matthew;OTT;ELC;D;21;2026-27|2027-28;;924166;924166;0;0;0
Olsen, Eskild Bakke;OTT;ELC;;24;2026-27;;910000;RFA;0;0;0
Pettersson, Oskar;OTT;ELC;RW;22;2026-27;;910000;RFA;0;0;0
Tomasino, Philip;OTT;;C,RW;25;;;900000;RFA;0;0;0
Halttunen, Kasper;OTT;ELC;RW,LW;21;2026-27|2027-28;;899166;899166;RFA;0;0
Hamara, Tomas;OTT;ELC;D;22;2026-27;;878334;0;0;0;0
Matinpalo, Nikolas;OTT;;RD,LD;27;;;875000;UFA;0;0;0
White, Colin;OTT;;C,RW;29;;;875000;875000;0;0;0
Donovan, Jorian;OTT;ELC;LD;22;2026-27;;871666;RFA;0;0;0
Hodgson, Hayden;OTT;;RW;30;;;850000;UFA;0;0;0
Suzuki, Ryan;OTT;;C;25;;;850000;0;0;0;0
Bourgault, Xavier;OTT;;RW,C;23;;;850000;RFA;0;0;0
Daoust, Philippe;OTT;;C;24;;;850000;0;0;0;0
Toure, Djibril;OTT;;D;23;;;850000;RFA;0;0;0
Kyrou, Christian;OTT;;D;23;;;850000;RFA;0;0;0
Bolduc, Samuel;OTT;;D;25;;;850000;0;0;0;0
Boucher, Tyler;OTT;;RW,LW;23;;;850000;RFA;0;0;0
Crotty, Cameron;OTT;;RD;27;;;812500;UFA;0;0;0
Zherenko, Vadim;OTT;;G;25;;;0;0;0;0;0
Hutton, Ben;OTT;;LD;33;;;UFA;0;0;0;0
Harrington, Scott;OTT;;D;33;;;UFA;0;0;0;0
